,Climate,Growth,GDP_per_capita,Unemployment,Homosexuality_acceptance,LGBT_adoption_rights,LGBT_homosexuality_rights,LGBT_marriage_rights,VAT_Sales_Tax,Art_galleries,Concert_venues,Museums,Sport_venues,Currency_for_urban_area,GDP_per_capita,Monthly_Fitness_Club_Membership,Beer,Monthly_Public_Transport,Lunch,Airport_score,Airport_hub,Intercity_train_connectivity,Gun_related_deaths,Guns_per_residents,Pisa_ranking,Best_university,Large_apartment,Medium_apartment,Small_apartment,Description,Poblacion,Cities
252,172,4%,"$46,420",6%,88.24,✔ Equal,✔ Sexual orientation and gender identity,0.89,0.20,94,104,78,71,EUR,$46420.13,$55.00,$1.60,$53.00,$13.00,0.65,149,0.95,3,30,20,University of Vienna,$1600,$1200,$850,"Vienna is a truly imperial city filled with palaces, gardens and historical sites. Its wealth and power contributed greatly to the arts and development of classical music. It is also known as one of the great cafe cities of the world with a coffee-house culture dating back to the 17th century. The Viennese take coffee seriously—if you do, too, this might be your city.
Vienna is one of the top ten city matches for 25.7% of Teleport users.","3,426,600",Vienna
253,49.4,1%,"$27,051",8%,82.20,✔ Equal,✔ Sexual orientation and gender identity,0.64,0.21,54,52,55,24,EUR,$27051.09,$63.00,$1.30,$37.00,$7.80,0.26,46,0.16,2,1,30,Vilnius University,$780,$630,$480,"By Gabija Mušeikytė

Vilnius is an innovative city with great business freedom and affordable housing. Offering one of the fastest public wifi upload speeds in the world and a low cost of living, the city has become an attractive business center. Along with its modern facilities and high environmental quality, Vilnius has a rich historical background that remains an important part of the city’s identity.
Vilnius is one of the top ten city matches for 3.7% of Teleport users.","809,200",Vilnius
254,12.9,2%,"$25,105",10%,0.42,✖ Illegal,✔ Legal,✖ Unrecognized,0.23,48,49,56,61,PLN,$25105.40,$36.00,$0.91,$30.00,$7.30,0.45,94,0.33,0,1,14,Warsaw University of Technology,$1100,$850,$640,"By Adam Stasiak

Warsaw, a unique blend of the old and new, is comprised of 18 districts, each with their distinctive characteristics. Warsaw's widely varied architecture reflects its tumultuous history and adds to a vibrant cultural scene - both classical and underground. Its history, cuisine and quality of life have made Warsaw an increasingly popular destination and its reasonable cost of living adds to the charm.
Warsaw is one of the top ten city matches for 10.8% of Teleport users.","4,305,300",Warsaw
255,97,5%,"$54,597",5%,100.00,✔ Equal,✔ Sexual orientation and gender identity,0.31,No hay dato,283,195,215,221,USD,$54596.65,$80.00,$3.00,$190.00,$16.00,0.69,104,0.21,16,491,24,"University of Maryland, College Park",$2900,$2400,$1800,"Washington, District of Columbia, features a wide variety of free time activities. According to our city rankings, this is a good place to live with high ratings in startups, venture capital and business freedom.
Washington, D.C. is one of the top ten city matches for 3.4% of Teleport users.","4,635,500",Washington-dc
256,180,4%,"$35,152",5%,93.65,✔ Equal,✔ Sexual orientation and gender identity,0.66,0.15,64,29,33,28,NZD,$35151.75,$37.00,$3.80,$110.00,$12.00,0.17,21,No hay dato,1,23,12,Victoria University of Wellington,$1900,$1600,$1300,"Wellington, New Zealand, is among the top cities with a free business environment. According to our city rankings, this is a good place to live with high ratings in safety, healthcare and environmental quality.
Wellington is one of the top ten city matches for 2.8% of Teleport users.","586,500",Wellington
257,12.9,3%,"$44,843",7%,0.80,✔ Legal,✔ Legal,✔ Legal,0.05,58,62,22,26,CAD,$44843.44,$40.00,$2.90,$66.00,$14.00,0.18,23,0.12,2,31,5,University of Manitoba,$1100,$910,$720,"Winnipeg, Canada, is among the top cities with a free business environment. According to our city rankings, this is a good place to live with high ratings in housing, healthcare and taxation.","632,100",Winnipeg
258,12.9,-1%,"$25,105",10%,0.42,✖ Illegal,✔ Legal,✖ Unrecognized,0.23,53,33,32,10,PLN,$25105.40,$27.00,$0.93,$24.00,$7.20,0.21,31,0.24,0,1,10,518.54,$830,$680,$540,"Wroclaw, Poland, is characterized by reasonably priced housing. Our data reflects that this city has a good ranking in cost of living and safety.","667,500",Wroclaw
259,286,2%,"$7,374",18%,59.44,✔ Equal,✖ No protections,0.87,0.20,83,89,66,22,AMD,$7373.53,$57.00,$0.89,$13.00,$6.30,0.22,35,0.13,1,13,No hay dato,No hay dato,$440,$350,$250,"Yerevan, Armenia, is characterized by reasonably priced housing. According to our city rankings, this is a good place to live with high ratings in cost of living, safety and taxation.
Yerevan is one of the top ten city matches for 1.7% of Teleport users.","1,886,700",Yerevan
260,12.8,1%,"$20,889",16%,80.17,✔ Equal,✔ Sexual orientation and gender identity,0.77,0.25,94,70,52,35,HRK,$20888.82,$45.00,$1.50,$61.00,$9.10,0.19,27,0.21,3,22,22,480.08,$690,$560,$430,"Zagreb, Croatia, is characterized by reasonably priced housing. According to our city rankings, this is a good place to live with high ratings in cost of living, safety and environmental quality.
Zagreb is one of the top ten city matches for 1.3% of Teleport users.","950,200",Zagreb
261,36,6%,"$58,087",3%,81.79,✔ Equal,✔ Sexual orientation and gender identity,0.92,0.08,89,125,99,49,CHF,$58087.21,$100.00,$2.40,$100.00,$29.00,0.61,137,0.94,3,24,11,ETH Zurich – Swiss Federal Institute of Technology Zurich,$3100,$2500,$1900,"Zurich is one of the wealthiest but also one of the most expensive cities in Europe. It is a leader in the world's financial industry as well as an international hub for banking. Zurich is also the center for development and scientific research with two world-class universities within its boundaries. The city is extremely well-connected through public transport and offers an exceptionally high quality of life.
Zurich is one of the top ten city matches for 13.3% of Teleport users.","2,236,000",Zurich
